date,ticker,price
8/28/13,dis,58.173353
8/29/13,dis,58.431646
8/30/13,dis,58.192486
09/03/2013,dis,58.288148
09/04/2013,dis,58.460344
09/05/2013,dis,58.642105
09/06/2013,dis,58.728203
09/09/2013,dis,58.919531
09/10/2013,dis,60.105768
09/11/2013,dis,61.167637
09/12/2013,dis,62.65043
9/13/13,dis,63.798404
9/16/13,dis,64.037564
9/17/13,dis,64.075831
9/18/13,dis,64.200191
9/19/13,dis,62.870461
9/20/13,dis,62.191246
9/23/13,dis,61.942518
9/24/13,dis,61.531162
9/25/13,dis,61.655522
9/26/13,dis,62.41127
9/27/13,dis,62.363442
9/30/13,dis,61.693789
10/01/2013,dis,62.019051
10/02/2013,dis,62.066878
10/03/2013,dis,61.244166
10/04/2013,dis,62.468673
10/07/2013,dis,61.789451
10/08/2013,dis,61.225037
10/09/2013,dis,60.832814
10/10/2013,dis,62.736531
10/11/2013,dis,63.339213
10/14/13,dis,63.932333
10/15/13,dis,63.559243
10/16/13,dis,63.473142
10/17/13,dis,63.540107
10/18/13,dis,64.238458
10/21/13,dis,64.678512
10/22/13,dis,66.008243
10/23/13,dis,65.166401
10/24/13,dis,66.056078
10/25/13,dis,66.256971
10/28/13,dis,66.008243
10/29/13,dis,65.93171
10/30/13,dis,65.501224
10/31/13,dis,65.616016
11/01/2013,dis,66.017811
11/04/2013,dis,65.826478
11/05/2013,dis,65.864745
11/06/2013,dis,66.008243
11/07/2013,dis,64.238458
11/08/2013,dis,65.606455
11/11/2013,dis,65.376856
11/12/2013,dis,64.831571
11/13/13,dis,65.979545
11/14/13,dis,66.984013
11/15/13,dis,66.964884
11/18/13,dis,66.486563
11/19/13,dis,66.123042
11/20/13,dis,66.228273
11/21/13,dis,66.907488
11/22/13,dis,67.156209
11/25/13,dis,66.716155
11/26/13,dis,68.093721
11/27/13,dis,67.701494
11/29/13,dis,67.481471
12/02/2013,dis,67.835431
12/03/2013,dis,66.869221
12/04/2013,dis,66.936186
12/05/2013,dis,67.184914
12/06/2013,dis,68.361579
12/09/2013,dis,68.026756
12/10/2013,dis,68.46681
12/11/2013,dis,67.462334
12/12/2013,dis,67.433284
12/13/13,dis,67.423604
12/16/13,dis,68.285526
12/17/13,dis,68.430795
12/18/13,dis,69.922204
12/19/13,dis,70.667916
12/20/13,dis,70.115899
12/23/13,dis,70.968133
12/24/13,dis,71.520151
12/26/13,dis,72.265862
12/27/13,dis,72.004376
12/30/13,dis,73.82507
12/31/13,dis,73.989705
01/02/2014,dis,73.863802
01/03/2014,dis,73.708853
01/06/2014,dis,73.428001
01/07/2014,dis,73.931593
01/08/2014,dis,72.846932
01/09/2014,dis,72.537028
01/10/2014,dis,73.011567
1/13/14,dis,70.958447
1/14/14,dis,72.10122
1/15/14,dis,71.936585
1/16/14,dis,71.868794
1/17/14,dis,71.646054
1/21/14,dis,71.859107
1/22/14,dis,72.934089
1/23/14,dis,72.430497
1/24/14,dis,70.425803
1/27/14,dis,69.970629
1/28/14,dis,70.580751
1/29/14,dis,69.079656
1/30/14,dis,70.910029
1/31/14,dis,70.319273
02/03/2014,dis,67.781927
02/04/2014,dis,68.80849
02/05/2014,dis,69.49609
02/06/2014,dis,73.176202
02/07/2014,dis,73.282732
02/10/2014,dis,74.628879
02/11/2014,dis,75.335852
02/12/2014,dis,75.452069
2/13/14,dis,75.442383
2/14/14,dis,76.730425
2/18/14,dis,77.069382
2/19/14,dis,76.381782
2/20/14,dis,76.691686
2/21/14,dis,77.602026
